DATA CAIXA;HORA ABERT.;CHAVE NF-E;NOTA FISCAL;MODELO;SERIE;VAL. TOTAL PRODUTO;VAL. TOTAL NOTA;TROCO;DESCONTO;BASE ICMS;VAL. ICMS;BASE PIS;VAL. PIS;BASE COFINS;VAL. COFINS;COD. PRODUTO;DESCRIÇÃO DO ITEM;QUANT. ITEM;VALOR ITEM;ALIQ. ICMS;REDUÇÃO ICMS;CST;CFOP;BASE ICMS ITEM;VAL. ICMS ITEM;BASE PIS ITEM;VAL PIS ITEM;BASE COFINS ITEM; VAL. COFINS;COD. PAGTO;ESCR. PAGTO;VALOR PAGTO;OPERADORA;TIPO OPERACAO;NSU TRANSAÇÃO;N. AUTORIZAÇÃO;COD. PAGTO TEF;D..PAGTO TEF;HORA FECH.;HORA LANC.;NUMERO;TOTAL CARTÃO;CODIGO DA EMPRESA; CÓDIGO FUNC. LANC. ITEM;DESCONTO DO ITEM
01/05/2026;16:20:17;'29260545941965000117650050000380471374606243';38047;;5;22;22;0;0;0;0;0;0;0;0;5052360;FATIA DO DIA;1;20;;;;;;;;;;;;;;;;;;;;16:44:27;16:20:18;1;1;3;34;0
01/05/2026;16:20:17;'29260545941965000117650050000380471374606243';38047;;5;22;22;0;0;0;0;0;0;0;0;100000;GORJETA CONCEDIDA;1;2;;;;;;;;;;;5301;VISA CREDITO;22;;;;;0;;16:44:27;16:24:50;1;1;3;0;0
01/05/2026;12:55:18;'29260545941965000117650050000380371445279189';38037;;5;18,59;18,59;0;0;0;0;0;0;0;0;5046;CAPUCCINO HEALTHY;1;16,9;;;;;;;;;;;;;;;;;;;;13:33:51;12:55:19;1;1;3;34;0
01/05/2026;12:55:18;'29260545941965000117650050000380371445279189';38037;;5;18,59;18,59;0;0;0;0;0;0;0;0;100000;GORJETA CONCEDIDA;1;1,69;;;;;;;;;;;17311;TEF-GETNET DEBITO;18,59;MASTERCARD      ;VD DEB;10373;M17021;0;;13:33:51;13:00:59;1;1;3;0;0
01/05/2026;18:27:42;'29260545941965000117650050000380561233526064';38056;;5;64,9;64,9;0;0;0;0;0;0;0;0;10116;SALADA SIMPLES P;1;54;;;;;;;;;;;;;;;;;;;;18:53:03;18:27:44;3;1;3;61;0
01/05/2026;18:27:42;'29260545941965000117650050000380561233526064';38056;;5;64,9;64,9;0;0;0;0;0;0;0;0;9999;EMBALAGEM + SACOLA;1;5;;;;;;;;;;;;;;;;;;;;18:53:03;18:34:29;3;1;3;61;0
01/05/2026;18:27:42;'29260545941965000117650050000380561233526064';38056;;5;64,9;64,9;0;0;0;0;0;0;0;0;100000;GORJETA CONCEDIDA;1;5,9;;;;;;;;;;;3;PIX;64,9;;;;;0;;18:53:03;18:34:36;3;1;3;0;0
01/05/2026;21:00:14;'29260545941965000117650050000380671972147768';38067;;5;101,86;101,86;0;0;0;0;0;0;0;0;1016579161;TAPIOCA DE CARNE SECA CREMOSA;1;35;;;;;;;;;;;;;;;;;;;;21:28:25;21:00:14;3;2;3;61;0
01/05/2026;21:00:14;'29260545941965000117650050000380671972147768';38067;;5;101,86;101,86;0;0;0;0;0;0;0;0;1016578647;ACAI BOWL 300 G;1;23,9;;;;;;;;;;;;;;;;;;;;21:28:25;21:00:15;3;2;3;61;0
01/05/2026;21:00:14;'29260545941965000117650050000380671972147768';38067;;5;101,86;101,86;0;0;0;0;0;0;0;0;233;CAPUCCINO ITALIANO;1;13,9;;;;;;;;;;;;;;;;;;;;21:28:25;21:12:36;3;2;3;61;0
